city,state,population_male,population_female,literates_male,literates_female,sex_ratio,child_sex_ratio,male_graduates,female_graduates
Abohar,PUNJAB,76840,68398,58347,44972,890,848,8612,7675
Achalpur,MAHARASHTRA,58256,54037,49347,43086,928,909,5269,3594
Adilabad,ANDHRA PRADESH,59232,58156,46295,37660,982,947,6797,3768
Adityapur,JHARKHAND,91495,82493,71470,54515,902,910,12189,7036
Adoni,ANDHRA PRADESH,82743,83794,56203,45089,1013,968,7871,4031
Agartala,TRIPURA,199616,200072,174524,169109,1002,940,30215,22496
Agra,UTTAR PRADESH,849771,724771,503805,376725,853,772,106082,79731
Ahmedabad,GUJARAT,2935869,2634716,2459823,2004480,897,853,435267,334591
Ahmadnagar,MAHARASHTRA,179755,171150,152819,134649,952,859,29832,21829
Aizawl,MIZORAM,143803,148019,125256,128332,1029,989,14900,11932
Ajmer,RAJASTHAN,278786,263794,230586,192327,946,884,42454,35535
Akbarpur,UTTAR PRADESH,57560,54034,42208,32854,939,937,5811,3934
Akola,MAHARASHTRA,218184,208962,183594,164093,958,899,28812,20903
Alandur,TAMIL NADU,82190,81972,72755,69660,997,975,25463,20508
Alappuzha,KERALA,83888,90276,74454,78815,1076,945,9900,12363
Aligarh,UTTAR PRADESH,463123,409452,303886,230083,884,875,55965,43376
Allahabad,UTTAR PRADESH,601363,515731,493181,384409,858,876,138248,94881
Alwar,RAJASTHAN,166900,148410,138737,104897,889,833,35297,23467
Ambala,HARYANA,103533,92683,85004,70776,895,834,17809,17134
Ambala Sadar,HARYANA,54241,50027,43444,39792,922,841,10689,9929
Ambarnath,MAHARASHTRA,133006,120997,111273,90434,910,906,14444,12152
Ambattur,TAMIL NADU,241181,236953,208748,192505,982,960,52224,44962
Ambikapur,CHHATTISGARH,59673,54902,48950,40640,920,887,12369,8488
Ambur,TAMIL NADU,56052,57804,45439,42870,1031,955,5076,2737
Amravati,MAHARASHTRA,330544,316257,284490,259078,957,910,51456,40540
Amreli,GUJARAT,55166,50814,46721,39254,921,835,6579,4726
Amritsar,PUNJAB,602754,530007,478062,394465,879,824,69241,71118
Amroha,UTTAR PRADESH,102804,94331,60621,48151,918,946,7635,6244
Anand,GUJARAT,102359,94992,88444,77767,928,881,17331,12472
Anantapur,ANDHRA PRADESH,131506,130834,105452,90000,995,904,27392,16308
Anantnag,JAMMU & KASHMIR,56030,52475,39591,31817,937,874,7291,5375
Arrah,BIHAR,139319,121780,107822,81258,874,875,25045,10309
Asansol,WEST BENGAL,293748,270743,236683,194617,922,908,40231,25394
Ashoknagar Kalyangarh,WEST BENGAL,62554,61352,55398,50939,981,947,7093,4899
Aurangabad,BIHAR,53307,48213,42338,33458,904,893,9371,3770
Aurangabad,MAHARASHTRA,610377,560953,497404,411321,919,859,96576,62732
Avadi,TAMIL NADU,175055,169646,145729,130152,969,965,27742,23905
Azamgarh,UTTAR PRADESH,58033,52947,46587,38421,912,860,11691,8220
Badlapur,MAHARASHTRA,91695,83821,78910,67349,914,890,13878,11237
Bagaha,BIHAR,59946,53066,34751,22247,885,946,2756,988
Bagalkot,KARNATAKA,56837,55231,46623,39237,972,915,9038,5052
Bahadurgarh,HARYANA,91736,78690,75714,56394,858,784,13025,9496
Baharampur,WEST BENGAL,100431,94932,86535,77910,945,962,19679,12475
Bahraich,UTTAR PRADESH,98529,87712,66544,56058,890,895,11537,8953
Baidyabati,WEST BENGAL,62550,58531,53217,47373,936,958,10311,6913
Baleshwar Town,ORISSA,60308,57894,50372,44712,960,955,14071,9099
Ballia,UTTAR PRADESH,55706,48565,45467,35497,872,868,10252,5862
Bally,WEST BENGAL,156734,135238,119508,97394,863,1185,22170,13930
Bally City,WEST BENGAL,59951,55764,51534,44131,930,964,7562,4792
Balurghat,WEST BENGAL,75677,75506,66954,63276,998,974,14538,9194
Banda,UTTAR PRADESH,82215,72173,64871,48986,878,893,15215,8800
Bankura,WEST BENGAL,70734,67302,60272,50801,951,956,12321,6761
Bansberia,WEST BENGAL,53807,49992,44671,36843,929,930,5264,3302
Banswara,RAJASTHAN,51240,48888,41404,35034,954,855,7837,6015
Baran,RAJASTHAN,61360,56797,48209,35670,926,893,7362,4191
Baranagar,WEST BENGAL,128432,120034,114347,101502,935,947,28274,21437
Barasat,WEST BENGAL,143732,139711,123692,113189,972,964,27143,18373
Baraut,UTTAR PRADESH,54521,48212,39900,29659,884,832,7191,5481
Barddhaman,WEST BENGAL,160631,154007,138067,122497,959,940,32325,20062
Bareilly,UTTAR PRADESH,477438,420729,316385,247234,881,890,61065,49626
Baripada Town,ORISSA,57008,53050,48388,41033,931,900,10953,6636
Barnala,PUNJAB,62302,54152,46100,36247,869,830,6213,6452
Barrackpur,WEST BENGAL,79507,74968,68159,60300,943,922,17514,12396
Barshi,MAHARASHTRA,60857,57716,49965,41295,948,845,8564,4787
Basirhat,WEST BENGAL,64397,62738,53913,48824,974,947,12083,7954
Basti,UTTAR PRADESH,60126,54525,48473,38592,907,921,12071,8112
Batala,PUNJAB,82459,73941,66101,55037,897,831,8120,8316
Bathinda,PUNJAB,151782,134031,118888,92430,883,865,22471,20957
Beawar,RAJASTHAN,74946,70863,61229,48882,946,880,8257,5510
Begusarai,BIHAR,133931,117205,96459,72702,875,897,16492,8124
Belgaum,KARNATAKA,246407,241885,208546,188190,982,936,37682,26518
Bellary,KARNATAKA,206026,203618,153275,128493,988,957,23011,13844
Bangalore,KARNATAKA,4401299,4024671,3664959,3110983,914,940,908363,682800
Bettiah,BIHAR,70381,62515,52547,42116,888,880,9372,4066
Betul,MADHYA PRADESH,52902,50439,44429,38927,953,907,9918,7207
Bhadrak,ORISSA,55094,52275,41628,35300,949,949,8191,5120
Bhadravati,KARNATAKA,75020,75756,62199,56247,1010,975,7066,5340
Bhadreswar,WEST BENGAL,53318,48016,44493,35756,901,921,5743,3482
Bhagalpur,BIHAR,212005,186133,157049,122420,878,916,33692,15964
Bhalswa Jahangir Pur,NCT OF DELHI,106271,90879,76114,54303,855,884,5164,3184
Bharatpur,RAJASTHAN,134088,118021,105642,75517,880,829,20734,12677
Bharuch,GUJARAT,86887,81842,71671,62125,942,916,8210,5849
Bhatpara,WEST BENGAL,207876,182591,172042,135320,878,925,18147,10908
Bhavnagar,GUJARAT,309447,284321,251860,203382,919,838,30315,21560
Bhilai Nagar,CHHATTISGARH,322254,303443,267487,219755,942,917,43751,37869
Bhilwara,RAJASTHAN,187952,172057,150306,114456,915,893,24856,16932
Bhimavaram,ANDHRA PRADESH,70066,72214,55523,53012,1031,977,11541,6757
Bhind,MADHYA PRADESH,105394,91938,83903,61627,872,838,13748,6722
Bhiwadi,RAJASTHAN,59757,45126,44697,26290,755,859,6331,3804
Bhiwandi,MAHARASHTRA,418478,292851,314906,192816,700,934,14404,10284
Bhiwani,HARYANA,105372,92290,84028,63779,876,809,17068,11055
Bhopal,MADHYA PRADESH,939560,856088,741737,612482,911,917,155418,127395
Bhubaneswar Town,ORISSA,445233,392504,388164,322079,882,902,121563,79225
Bhuj,GUJARAT,77900,69223,64172,50650,889,900,9536,6921
Bhusawal,MAHARASHTRA,96655,91095,81544,70559,942,852,11257,8558
Bid,MAHARASHTRA,75655,70582,61135,51036,933,843,12252,6778
Bidar,KARNATAKA,109435,102509,89472,74309,937,914,16824,9086
Bidhan Nagar,WEST BENGAL,111363,106960,97604,88281,960,967,35756,30107
Biharsharif,BIHAR,154915,141974,110247,79173,916,918,20487,7605
Bijapur,KARNATAKA,165122,161238,128615,111016,976,911,24355,12910
Bikaner,RAJASTHAN,340894,306910,259367,192296,900,901,44965,28404
Bilaspur,CHHATTISGARH,169738,160368,141169,119485,945,902,38607,28789
Bokaro Steel City,JHARKHAND,220088,193846,179188,130939,881,874,39496,21538
Bongaon,WEST BENGAL,56416,54252,48799,43454,962,927,6684,3602
Botad,GUJARAT,67778,62524,53275,41288,922,874,2997,1581
Brahmapur Town,ORISSA,185584,170239,159550,134268,917,898,32587,18195
