Date_of_journey,Flight_code,Source_ID,Destination_ID,Total_stops,Departure_Time,Arrival_Time,Duration_in_mins,Business,Economy,First,Premium_Economy
02-01-2023,9I-301,35141,26434,non-stop,09:35,11:30,115,0,3533,0,0
02-01-2023,9I-302,26434,35141,non-stop,17:00,19:00,120,0,3423,0,0
02-01-2023,9I-517,35145,35141,non-stop,19:40,21:15,95,0,3269,0,0
02-01-2023,9I-518,35141,35145,non-stop,22:00,23:35,95,0,3423,0,0
02-01-2023,9I-695,26555,26431,1-stop,13:15,16:20,185,0,4695,0,0
02-01-2023,9I-696,26431,26555,1-stop,16:50,19:55,185,0,4642,0,0
02-01-2023,9I-893,35141,26618,non-stop,07:25,09:00,95,0,4688,0,0
02-01-2023,9I-895,35141,35145,non-stop,07:25,08:50,85,0,3953,0,0
02-01-2023,9I-896,35145,35141,non-stop,09:20,10:45,85,0,3799,0,0
02-01-2023,G8-101,26555,26434,1-stop,05:50,19:35,825,0,21022,0,0
02-01-2023,G8-101,26555,35145,1-stop,05:50,19:25,815,0,19866,0,0
02-01-2023,G8-102,26496,26431,1-stop,14:20,22:00,460,0,11222,0,0
02-01-2023,G8-102,26496,26434,1-stop,14:20,04:50,870,0,14031,0,0
02-01-2023,G8-102,26496,26434,1-stop,14:20,21:50,450,0,14031,0,0
02-01-2023,G8-102,26496,26434,1-stop,14:20,23:15,535,0,14031,0,0
02-01-2023,G8-102,26496,26555,non-stop,14:20,16:55,155,0,8706,0,0
02-01-2023,G8-102,26496,35141,1-stop,14:20,22:55,515,0,13316,0,0
02-01-2023,G8-102,26496,35145,1-stop,14:20,01:10,650,0,13369,0,0
02-01-2023,G8-113,26555,26434,1-stop,05:45,20:35,890,0,6007,0,0
02-01-2023,G8-113,26555,26434,1-stop,05:45,22:15,990,0,6007,0,0
02-01-2023,G8-113,26555,35145,non-stop,05:45,08:35,170,0,5237,0,0
02-01-2023,G8-116,35145,26555,non-stop,07:35,10:30,175,0,13985,0,0
02-01-2023,G8-118,35145,26496,1-stop,21:30,08:00,630,0,6816,0,0
02-01-2023,G8-118,35145,26555,non-stop,21:30,00:15,165,0,5238,0,0
02-01-2023,G8-119,26555,26434,1-stop,22:25,09:40,675,0,6007,0,0
02-01-2023,G8-119,26555,35145,non-stop,22:25,01:10,165,0,5237,0,0
02-01-2023,G8-143,26555,26434,1-stop,10:40,16:45,365,0,9389,0,0
02-01-2023,G8-173,26555,35145,1-stop,09:35,19:50,615,0,7317,0,0
02-01-2023,G8-184,26555,26434,1-stop,10:25,16:10,345,0,6007,0,0
02-01-2023,G8-194,26555,26434,1-stop,21:30,08:00,630,0,6007,0,0
02-01-2023,G8-2126,35145,26434,1-stop,17:10,22:15,305,0,6583,0,0
02-01-2023,G8-2126,35145,26555,2+-stop,17:10,01:05,475,0,9126,0,0
02-01-2023,G8-213,26555,26434,1-stop,11:50,18:10,380,0,18057,0,0
02-01-2023,G8-237,26555,26434,1-stop,12:45,22:30,585,0,6007,0,0
02-01-2023,G8-237,26555,35145,1-stop,12:45,20:50,485,0,8866,0,0
02-01-2023,G8-241,35145,26555,1-stop,16:25,06:45,860,0,6093,0,0
02-01-2023,G8-241,35145,26555,1-stop,16:25,21:50,325,0,6093,0,0
02-01-2023,G8-241,35145,26555,1-stop,16:25,23:10,405,0,6093,0,0
02-01-2023,G8-2501,26555,26434,non-stop,02:40,04:50,130,0,5801,0,0
02-01-2023,G8-2508,26434,26496,1-stop,23:45,08:00,495,0,7596,0,0
02-01-2023,G8-2508,26434,26555,non-stop,23:45,02:00,135,0,5820,0,0
02-01-2023,G8-2519,26555,26434,1-stop,20:40,10:50,850,0,6007,0,0
02-01-2023,G8-259,26555,26434,1-stop,07:00,18:10,670,0,17634,0,0
02-01-2023,G8-274,35145,26555,1-stop,09:10,22:40,810,0,10969,0,0
02-01-2023,G8-275,26555,35145,1-stop,22:05,10:05,720,0,7100,0,0
02-01-2023,G8-285,35145,26555,1-stop,15:50,03:00,670,0,9126,0,0
02-01-2023,G8-285,35145,26555,1-stop,15:50,20:20,270,0,8367,0,0
02-01-2023,G8-286,26555,26434,1-stop,10:55,01:20,865,0,8740,0,0
02-01-2023,G8-286,26555,26434,1-stop,10:55,18:20,445,0,9847,0,0
02-01-2023,G8-286,26555,26434,1-stop,10:55,19:30,515,0,9140,0,0
02-01-2023,G8-286,26555,35145,1-stop,10:55,15:10,255,0,7161,0,0
02-01-2023,G8-3001,35141,26431,non-stop,05:00,06:45,105,0,5525,0,0
02-01-2023,G8-3001,35141,26434,1-stop,05:00,10:45,345,0,8716,0,0
02-01-2023,G8-3001,35141,26555,1-stop,05:00,10:05,305,0,6422,0,0
02-01-2023,G8-3002,26431,26434,1-stop,08:00,21:40,820,0,8001,0,0
02-01-2023,G8-3002,26431,35145,1-stop,08:00,21:35,815,0,6820,0,0
02-01-2023,G8-3006,26431,26555,1-stop,19:45,08:45,780,0,6777,0,0
02-01-2023,G8-3007,26431,35145,1-stop,05:45,15:10,565,0,5867,0,0
02-01-2023,G8-304,26618,26431,1-stop,13:45,19:20,335,0,5161,0,0
02-01-2023,G8-304,26618,26431,1-stop,13:45,23:50,605,0,4264,0,0
02-01-2023,G8-304,26618,26434,non-stop,13:45,15:40,115,0,2874,0,0
02-01-2023,G8-304,26618,26555,1-stop,13:45,01:05,680,0,8237,0,0
02-01-2023,G8-304,26618,26555,1-stop,13:45,02:00,735,0,8237,0,0
02-01-2023,G8-304,26618,26555,1-stop,13:45,19:50,365,0,8237,0,0
02-01-2023,G8-304,26618,26555,1-stop,13:45,23:30,585,0,8237,0,0
02-01-2023,G8-305,26434,26618,non-stop,05:45,07:35,110,0,7844,0,0
02-01-2023,G8-317,26434,35145,non-stop,05:45,07:20,95,0,2851,0,0
02-01-2023,G8-319,26434,26555,non-stop,09:55,12:05,130,0,5938,0,0
02-01-2023,G8-320,35145,26434,non-stop,18:45,20:35,110,0,4352,0,0
02-01-2023,G8-320,35145,26496,1-stop,18:45,10:00,915,0,6816,0,0
02-01-2023,G8-320,35145,26555,1-stop,18:45,01:05,380,0,7613,0,0
02-01-2023,G8-320,35145,26555,1-stop,18:45,02:00,435,0,7613,0,0
02-01-2023,G8-320,35145,26555,1-stop,18:45,08:00,795,0,7613,0,0
02-01-2023,G8-320,35145,26618,1-stop,18:45,07:35,770,0,5088,0,0
02-01-2023,G8-322,26434,26496,1-stop,21:15,08:00,645,0,7596,0,0
02-01-2023,G8-322,26434,26555,non-stop,21:15,23:30,135,0,5938,0,0
02-01-2023,G8-323,26555,26434,non-stop,18:00,20:10,130,0,5899,0,0
02-01-2023,G8-323,26555,26618,1-stop,18:00,07:35,815,0,6954,0,0
02-01-2023,G8-323,26555,35145,1-stop,18:00,07:20,800,0,7576,0,0
02-01-2023,G8-325,26434,26555,1-stop,21:35,10:30,775,0,5996,0,0
02-01-2023,G8-325,26434,35145,non-stop,21:35,23:20,105,0,2252,0,0
02-01-2023,G8-327,26434,26555,non-stop,08:45,10:55,130,0,5938,0,0
02-01-2023,G8-329,26434,26555,non-stop,05:50,08:00,130,0,5938,0,0
02-01-2023,G8-330,26555,26434,non-stop,21:00,23:15,135,0,5801,0,0
02-01-2023,G8-330,26555,26618,1-stop,21:00,07:35,635,0,6954,0,0
02-01-2023,G8-330,26555,35145,1-stop,21:00,07:20,620,0,7576,0,0
02-01-2023,G8-331,26434,26555,1-stop,11:30,03:00,930,0,11535,0,0
02-01-2023,G8-331,26434,26555,1-stop,11:30,20:20,530,0,11535,0,0
02-01-2023,G8-334,26555,26434,non-stop,07:20,09:30,130,0,5899,0,0
02-01-2023,G8-334,26555,35145,1-stop,07:20,20:55,815,0,7576,0,0
02-01-2023,G8-336,26555,26434,non-stop,14:35,16:45,130,0,5899,0,0
02-01-2023,G8-336,26555,35145,1-stop,14:35,08:05,1050,0,8866,0,0
02-01-2023,G8-336,26555,35145,1-stop,14:35,20:55,380,0,7576,0,0
02-01-2023,G8-336,26555,35145,1-stop,14:35,23:20,525,0,7576,0,0
02-01-2023,G8-339,26434,26496,1-stop,17:40,08:00,860,0,7596,0,0
02-01-2023,G8-339,26434,26555,non-stop,17:40,19:50,130,0,5938,0,0
02-01-2023,G8-344,26434,26555,1-stop,18:50,09:50,900,0,5996,0,0
02-01-2023,G8-344,26434,35145,1-stop,18:50,08:40,830,0,6312,0,0
02-01-2023,G8-345,26434,26496,1-stop,22:55,08:00,545,0,7596,0,0
02-01-2023,G8-345,26434,26555,non-stop,22:55,01:05,130,0,5820,0,0
02-01-2023,G8-346,26555,26434,non-stop,19:40,21:50,130,0,5899,0,0
02-01-2023,G8-346,26555,26618,1-stop,19:40,07:35,715,0,6954,0,0
02-01-2023,G8-346,26555,35145,1-stop,19:40,07:20,700,0,7576,0,0
02-01-2023,G8-349,26434,26555,1-stop,11:05,20:05,540,0,5996,0,0
02-01-2023,G8-351,26434,26555,1-stop,11:20,22:40,680,0,5996,0,0
